length,occurences,time[ns]
5,1513,2475365
5,1560,2505188
5,1448,2906993
5,1197,2515106
5,2813,2571259
5,228,3915940
5,694,3842536
5,2170,2952252
5,1196,3275972
5,1945,3291128
5,2460,2598288
10,10,2494851
10,17,2346087
10,3,2754596
10,2,2851538
10,3,3065047
10,4,2257666
10,1,2863202
10,2,2711014
10,1,2562948
10,5,3052545
10,1,2648435
20,1,2592212
20,1,2641102
20,1,2627134
20,1,2537107
20,1,3013364
20,1,2761371
20,1,2756901
20,1,2760463
20,1,2238110
20,1,2313330
20,1,2376189
30,1,2731618
30,1,2812705
30,1,2918028
30,1,2788610
30,1,2778204
30,1,2826535
30,1,2842878
30,2,2765352
30,1,2634536
30,1,2761092
30,1,2474178
40,1,2380519
40,1,2644384
40,1,2518947
40,1,2895329
40,1,2696278
40,1,2549469
40,1,2907622
40,1,2578104
40,1,2660938
40,1,2331909
40,1,2727358
50,1,2890021
50,1,2703960
50,1,2457835
50,1,2345179
50,1,2977395
50,1,2653324
50,1,2490870
50,1,2655629
50,1,2780997
50,1,2592213
50,1,2735949
