length,occurences,time[ns]
5,1,1028015
5,262,1690264
5,2129,1005804
5,64,1361025
5,200,992814
5,218,1047012
5,73,991278
5,429,1111268
5,18,811642
5,2945,1142138
5,3,705621
10,1,1115877
10,1,1210513
10,60,856272
10,1,758562
10,1,820791
10,1,854106
10,1,695284
10,1,1000776
10,3,1019354
10,1,1132709
10,3,770644
20,1,1840425
20,1,708275
20,1,846005
20,1,801026
20,1,1007062
20,1,1688518
20,14,717495
20,1,799141
20,1,920667
20,1,1059863
20,1,812131
30,1,710021
30,1,1149751
30,1,988694
30,1,1332180
30,1,1483110
30,1,1079210
30,1,1085425
30,1,1136690
30,1,1194659
30,4,1835815
30,1,1010135
40,1,1658206
40,1,1029412
40,1,1317093
40,1,936731
40,1,1135712
40,1,918991
40,1,711139
40,1,706110
40,1,806404
40,1,817997
40,1,1501548
50,1,1691171
50,1,1105820
50,1,742428
50,1,1028853
50,1,1353761
50,1,1011601
50,1,1165395
50,1,786848
50,1,904183
50,1,918222
50,1,1716245
