length,occurences,time[ns]
5,1048572,10259477
5,1048572,12127490
5,1048572,12625539
5,1048572,12226248
5,1048572,12925164
5,1048572,11470759
5,1048572,11286514
5,1048572,11438631
5,1048572,11197325
5,1048572,11749432
5,1048572,11442473
10,1048567,14050750
10,1048567,14475813
10,1048567,13829627
10,1048567,13847577
10,1048567,13744908
10,1048567,14154117
10,1048567,13621216
10,1048567,14197628
10,1048567,13598029
10,1048567,14318806
10,1048567,13514428
20,1048557,20630353
20,1048557,19599754
20,1048557,19002110
20,1048557,19171618
20,1048557,19234057
20,1048557,19112880
20,1048557,19286369
20,1048557,19319265
20,1048557,19212895
20,1048557,18969842
20,1048557,20918036
30,1048547,25392719
30,1048547,23903602
30,1048547,23752393
30,1048547,24126051
30,1048547,25569002
30,1048547,24042658
30,1048547,24170751
30,1048547,24322379
30,1048547,24561520
30,1048547,24661605
30,1048547,24621865
40,1048537,28698095
40,1048537,28523209
40,1048537,28697258
40,1048537,29565752
40,1048537,28846861
40,1048537,28709480
40,1048537,28589909
40,1048537,29356921
40,1048537,29011060
40,1048537,29075176
40,1048537,29608565
50,1048527,34777695
50,1048527,35187532
50,1048527,34214693
50,1048527,33413527
50,1048527,34354169
50,1048527,34718957
50,1048527,35059720
50,1048527,34452507
50,1048527,33208888
50,1048527,33554190
50,1048527,33546856
