length,occurences,time[ns]
5,1,768829
5,1,794461
5,1,775393
5,1,780423
5,1,773647
5,1,767642
5,1,769528
5,1,780982
5,1,781261
5,1,775534
5,1,794530
10,1,775603
10,1,780842
10,1,781889
10,1,770784
10,1,780213
10,1,781540
10,1,795998
10,1,786848
10,1,776022
10,1,779934
10,1,776442
20,1,812271
20,1,784543
20,1,783286
20,1,784124
20,1,784055
20,1,803610
20,1,784403
20,1,785452
20,1,771204
20,1,770296
20,1,783775
30,1,779375
30,1,775533
30,1,775254
30,1,775464
30,1,789781
30,1,775184
30,1,784892
30,1,784055
30,1,779864
30,1,800956
30,1,785312
40,1,785312
40,1,785242
40,1,784544
40,1,802493
40,1,783915
40,1,784263
40,1,776791
40,1,772949
40,1,777489
40,1,775952
40,1,776511
50,1,785801
50,1,783566
50,1,788874
50,1,785591
50,1,784195
50,1,779934
50,1,784892
50,1,785591
50,1,792016
50,1,784962
50,1,773159
